"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","66","500","81","59","19","15","""-1014536247""","16.673550061950557","16.673550061950557","16.673550061950557","0","16.673550061950557"
"1","67","500","81","59","19","15","""1042828533""","12.319710355955216","12.319710355955216","12.319710355955216","0","12.319710355955216"
"1","68","500","81","59","19","15","""-1905640838""","12.294145457410764","12.294145457410764","12.294145457410764","0","12.294145457410764"
"1","69","500","81","59","19","15","""-538486819""","14.8233623291319","14.8233623291319","14.8233623291319","0","14.8233623291319"
"1","70","500","81","59","19","15","""100865120""","17.322338771574202","17.322338771574202","17.322338771574202","0","17.322338771574202"
"1","71","500","42","66","22","16","""848821534""","1.6641452344931922","1.6641452344931922","1.6641452344931922","0","1.6641452344931922"
"1","72","500","42","66","22","16","""726366430""","1.7105661519830457","1.7105661519830457","1.7105661519830457","0","1.7105661519830457"
"1","73","500","42","66","22","16","""254747728""","1.7175500321567738","1.7175500321567738","1.7175500321567738","0","1.7175500321567738"
"1","74","500","42","66","22","16","""-31250212""","1.6805128788740944","1.6805128788740944","1.6805128788740944","0","1.6805128788740944"
"1","75","500","42","66","22","16","""-381429937""","1.6761904761904762","1.6761904761904762","1.6761904761904762","0","1.6761904761904762"
"1","76","500","42","66","22","16","""-217051331""","1.6236976195908435","1.6236976195908435","1.6236976195908435","0","1.6236976195908435"
"1","77","500","42","66","22","16","""862466539""","1.7210910487898579","1.7210910487898579","1.7210910487898579","0","1.7210910487898579"
"1","78","500","42","66","22","16","""45811698""","1.7214575512835097","1.7214575512835097","1.7214575512835097","0","1.7214575512835097"
"1","79","500","42","66","22","16","""111627454""","1.7328137414399758","1.7328137414399758","1.7328137414399758","0","1.7328137414399758"
"1","80","500","42","66","22","16","""1253861209""","1.6038309516570388","1.6038309516570388","1.6038309516570388","0","1.6038309516570388"
"1","81","500","58","93","5","12","""1918691064""","7.707754518196573","7.707754518196573","7.707754518196573","0","7.707754518196573"
"1","82","500","58","93","5","12","""-706868546""","6.185934330976265","6.185934330976265","6.185934330976265","0","6.185934330976265"
"1","83","500","58","93","5","12","""2110140195""","6.19449378330373","6.19449378330373","6.19449378330373","0","6.19449378330373"
"1","84","500","58","93","5","12","""-2080407321""","6.2537533438881905","6.2537533438881905","6.2537533438881905","0","6.2537533438881905"
"1","85","500","58","93","5","12","""497161939""","7.281181619256018","7.281181619256018","7.281181619256018","0","7.281181619256018"
"1","86","500","58","93","5","12","""817980428""","6.843514370014206","6.843514370014206","6.843514370014206","0","6.843514370014206"
"1","87","500","58","93","5","12","""-1332907550""","8.748899163364158","8.748899163364158","8.748899163364158","0","8.748899163364158"
"1","88","500","58","93","5","12","""698411462""","6.95452180817567","6.95452180817567","6.95452180817567","0","6.95452180817567"
"1","89","500","58","93","5","12","""1964136842""","8.258448646562655","8.258448646562655","8.258448646562655","0","8.258448646562655"
"1","90","500","58","93","5","12","""-1645688140""","8.522494468573303","8.522494468573303","8.522494468573303","0","8.522494468573303"
"1","91","500","97","76","25","24","""1292063531""","39.58230635249269","39.58230635249269","39.58230635249269","0","39.58230635249269"
"1","92","500","97","76","25","24","""1339013460""","39.55315895901491","39.55315895901491","39.55315895901491","0","39.55315895901491"
"1","93","500","97","76","25","24","""-1473865084""","39.5826149779157","39.5826149779157","39.5826149779157","0","39.5826149779157"
"1","94","500","97","76","25","24","""1180562971""","39.57693507858562","39.57693507858562","39.57693507858562","0","39.57693507858562"
"1","95","500","97","76","25","24","""-1837240874""","39.553195686480805","39.553195686480805","39.553195686480805","0","39.553195686480805"
