"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","17","160","79","99","11","18","""-133678424""","34.399209167204646","34.399209167204646","34.399209167204646","0","34.399209167204646"
"1","18","160","79","99","11","18","""1698844923""","34.5088161209068","34.5088161209068","34.5088161209068","0","34.5088161209068"
"1","19","160","79","99","11","18","""-1675720528""","33.799660852713174","33.799660852713174","33.799660852713174","0","33.799660852713174"
"1","20","160","79","99","11","18","""32598695""","33.830233590188406","33.830233590188406","33.830233590188406","0","33.830233590188406"
"1","21","160","49","69","15","11","""-557579490""","1.5313935681470139","1.5313935681470139","1.5313935681470139","0","1.5313935681470139"
"1","22","160","49","69","15","11","""-1619133483""","1.7985845074995128","1.7985845074995128","1.7985845074995128","0","1.7985845074995128"
"1","23","160","49","69","15","11","""244364255""","1.9033154527241","1.9033154527241","1.9033154527241","0","1.9033154527241"
"1","24","160","49","69","15","11","""-684734216""","1.7235793429663706","1.7235793429663706","1.7235793429663706","0","1.7235793429663706"
"1","25","160","49","69","15","11","""1071977859""","1.7262196116821666","1.7262196116821666","1.7262196116821666","0","1.7262196116821666"
"1","26","160","49","69","15","11","""126320959""","1.924389688912005","1.924389688912005","1.924389688912005","0","1.924389688912005"
"1","27","160","49","69","15","11","""-518351610""","1.8076178179470628","1.8076178179470628","1.8076178179470628","0","1.8076178179470628"
"1","28","160","49","69","15","11","""412928809""","1.4728354520922067","1.4728354520922067","1.4728354520922067","0","1.4728354520922067"
"1","29","160","49","69","15","11","""-49159947""","1.558962416715182","1.558962416715182","1.558962416715182","0","1.558962416715182"
"1","30","160","49","69","15","11","""-227003959""","1.874736466543414","1.874736466543414","1.874736466543414","0","1.874736466543414"
"1","31","160","74","57","8","19","""35150586""","5.507158875280317","5.507158875280317","5.507158875280317","0","5.507158875280317"
"1","32","160","74","57","8","19","""-1198919126""","4.126949973103819","4.126949973103819","4.126949973103819","0","4.126949973103819"
"1","33","160","74","57","8","19","""-920090145""","4.02460797177827","4.02460797177827","4.02460797177827","0","4.02460797177827"
"1","34","160","74","57","8","19","""1504016276""","3.295875312150177","3.295875312150177","3.295875312150177","0","3.295875312150177"
"1","35","160","74","57","8","19","""1808346469""","2.920902981216612","2.920902981216612","2.920902981216612","0","2.920902981216612"
"1","36","160","74","57","8","19","""475263613""","4.504543208815758","4.504543208815758","4.504543208815758","0","4.504543208815758"
"1","37","160","74","57","8","19","""-1950163932""","3.7080850880777754","3.7080850880777754","3.7080850880777754","0","3.7080850880777754"
"1","38","160","74","57","8","19","""-1692715863""","3.4904990423723343","3.4904990423723343","3.4904990423723343","0","3.4904990423723343"
"1","39","160","74","57","8","19","""267587020""","4.502002325280972","4.502002325280972","4.502002325280972","0","4.502002325280972"
"1","40","160","74","57","8","19","""701523291""","4.841380793633724","4.841380793633724","4.841380793633724","0","4.841380793633724"
"1","41","160","80","67","15","20","""-1657801765""","26.422318383951183","26.422318383951183","26.422318383951183","0","26.422318383951183"
"1","42","160","80","67","15","20","""1830515322""","26.585244762188466","26.585244762188466","26.585244762188466","0","26.585244762188466"
"1","43","160","80","67","15","20","""-1768527140""","24.524836288132885","24.524836288132885","24.524836288132885","0","24.524836288132885"
"1","44","160","80","67","15","20","""191665138""","25.88715295054234","25.88715295054234","25.88715295054234","0","25.88715295054234"
